measure,n
Countries in panel,52
"With neurologist density (WHO GDO, 2017)",19
"With service-reach level (WHO GDO, 2017)",47
"With stroke DALY rate (WHO GHE, 2004)",52
"With World Bank income group (WHO Atlas, 2017)",39
RQ1 sample: capacity and burden,19
RQ3 sample: service reach and income group,35
